SBD,Toan,Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,DTBTN,Lich Su,Dia Ly,GDCD,DTBXH
52000170,8.40,7.25,,8.25,7.75,5.50,7.17,,,,
52000171,7.80,7.75,9.00,,,,,7.75,7.75,9.50,8.33
52000172,7.20,8.25,8.80,7.00,7.75,6.50,7.08,,,,
52000173,8.20,7.25,8.40,5.00,8.75,7.50,7.08,,,,
52000174,7.60,6.25,3.60,,,,,7.75,5.50,8.25,7.17
52000175,6.20,6.50,7.00,,,,,8.50,5.75,8.75,7.67
52000176,8.60,6.00,9.80,8.25,8.75,8.50,8.50,,,,
52000177,6.20,6.00,8.00,,,,,7.50,7.00,9.25,7.92
52000178,8.80,7.00,9.20,8.50,6.75,6.25,7.17,,,,
52000179,7.20,6.00,9.60,5.25,6.50,6.50,6.08,,,,
52000180,8.80,6.00,9.00,7.50,6.50,5.50,6.50,,,,
52000181,8.00,7.50,6.60,5.75,7.25,5.75,6.25,,,,
52000182,7.00,6.25,6.40,6.75,7.50,5.75,6.67,,,,
52000183,9.00,6.75,8.80,7.75,7.00,7.25,7.33,,,,
52000184,6.20,6.00,4.60,4.25,3.25,3.75,3.75,,,,
52000185,7.80,5.50,5.40,8.50,8.00,6.75,7.75,,,,
52000186,4.20,5.00,4.60,2.50,5.25,5.00,4.25,,,,
52000187,7.20,5.50,5.80,,,,,7.50,5.00,7.75,6.75
52000188,7.60,4.50,7.00,6.75,7.00,4.25,6.00,,,,
52000189,7.20,5.75,7.80,6.75,7.00,4.00,5.92,,,,
52000190,7.80,5.25,8.40,6.75,4.00,6.00,5.58,,,,
52000191,6.80,6.00,7.80,6.25,6.50,7.00,6.58,,,,
52000192,8.80,6.25,,8.50,7.75,7.75,8.00,,,,
52000193,7.20,5.00,3.40,,,,,6.00,5.25,7.00,6.08
52000194,7.40,6.00,5.80,6.75,8.00,7.00,7.25,,,,
52000195,8.20,6.50,,6.75,5.75,6.75,6.42,,,,
52000196,6.00,5.75,6.20,,,,,5.50,5.50,7.25,6.08
52000197,8.80,6.75,9.20,9.00,6.75,7.25,7.67,,,,
52000198,9.00,5.75,7.00,6.75,7.75,6.75,7.08,,,,
52000199,8.20,5.75,10.00,8.00,6.75,7.00,7.25,,,,
52000200,6.40,5.25,7.20,3.50,6.00,8.00,5.83,,,,
52000201,7.80,6.25,7.40,7.00,5.25,7.50,6.58,,,,
52000202,7.40,7.00,7.20,,,,,7.00,6.50,8.00,7.17
52000203,6.40,7.50,5.00,,,,,5.50,6.25,8.50,6.75
52000204,8.00,6.75,7.80,6.00,8.25,6.75,7.00,,,,
52000205,7.20,7.50,8.00,,,,,7.00,6.00,9.50,7.50
52000206,8.20,7.75,9.80,,,,,9.50,7.25,9.25,8.67
52000207,7.60,8.00,7.20,,,,,9.00,6.75,9.75,8.50
52000208,6.20,5.42,3.40,6.25,6.25,4.75,5.75,,,,
52000209,8.60,6.75,9.20,,,,,7.00,7.50,9.00,7.83
52000210,8.80,8.00,8.80,8.50,8.25,7.75,8.17,,,,
52000211,7.60,8.75,9.60,,,,,6.00,6.25,8.25,6.83
52000212,7.60,7.75,7.00,,,,,7.75,7.00,9.50,8.08
52000213,6.80,5.50,5.60,8.25,7.75,6.00,7.33,,,,
52000214,8.20,6.75,9.40,8.00,7.50,8.25,7.92,,,,
52000215,8.00,6.75,9.40,7.75,5.75,6.75,6.75,,,,
52000216,7.20,5.50,8.00,8.25,6.25,7.25,7.25,,,,
52000217,6.60,6.00,6.20,6.25,8.25,6.75,7.08,,,,
52000218,7.20,5.50,8.40,7.50,6.50,4.50,6.17,,,,
52000219,8.80,6.00,8.40,7.50,8.25,5.75,7.17,,,,
52000220,4.00,5.25,4.40,,,,,6.75,5.25,8.00,6.67
52000221,8.60,8.00,9.00,7.00,9.50,7.50,8.00,,,,
52000222,8.40,6.25,9.00,,,,,7.00,7.25,9.75,8.00
52000223,8.80,7.00,9.20,9.00,7.75,8.75,8.50,,,,
52000224,8.00,7.00,9.00,5.50,6.75,7.00,6.42,,,,
52000225,6.80,6.75,6.60,6.75,6.25,6.25,6.42,,,,
52000226,7.20,7.75,,,,,,7.25,7.50,8.50,7.75
52000227,7.20,7.50,7.80,,,,,7.50,5.75,9.25,7.50
52000228,8.20,4.25,6.40,6.75,7.25,7.25,7.08,,,,
52000229,5.60,7.75,7.80,,,,,4.00,5.25,7.75,5.67
52000230,5.60,6.25,3.60,,,,,4.75,4.50,8.00,5.75
52000231,8.60,6.75,,6.25,8.50,9.75,8.17,,,,
52000232,7.80,5.75,4.80,7.25,7.75,5.75,6.92,,,,
52000233,6.60,7.00,10.00,,,,,7.50,5.75,9.25,7.50
52000234,7.60,7.50,7.20,,,,,7.50,6.50,9.75,7.92
52000235,8.20,6.50,9.00,6.00,5.75,5.25,5.67,,,,
52000236,7.60,6.75,9.40,,,,,7.75,7.25,9.00,8.00
52000237,7.20,6.50,8.80,5.75,8.25,8.50,7.50,,,,
52000238,7.60,5.75,7.20,6.50,5.50,6.50,6.17,,,,
52000239,8.00,7.75,7.40,,,,,8.50,6.25,10.00,8.25
52000240,8.20,7.25,9.40,,,,,7.50,7.75,9.00,8.08
52000241,8.00,7.25,9.20,,,,,7.75,5.25,8.50,7.17
52000242,5.60,7.00,7.20,6.50,7.75,5.00,6.42,,,,
52000243,6.60,7.00,,,,,,6.50,6.25,8.50,7.08
52000244,7.60,6.75,10.00,,,,,9.50,7.50,9.50,8.83
52000245,7.20,5.25,5.20,6.25,6.75,4.75,5.92,,,,
52000246,6.40,6.50,8.40,7.75,7.00,6.25,7.00,,,,
52000247,7.60,6.00,7.40,8.50,7.75,7.50,7.92,,,,
52000248,4.20,4.50,8.20,,,,,8.00,5.75,9.00,7.58
52000249,6.80,4.50,4.00,,,,,2.75,6.00,8.50,5.75
52000250,7.80,6.00,3.40,7.25,7.75,6.50,7.17,,,,
52000251,8.00,7.25,5.60,7.75,6.00,7.50,7.08,,,,
52000252,6.80,6.00,7.00,6.25,6.75,6.50,6.50,,,,
52000253,8.40,7.00,9.20,7.50,8.00,6.00,7.17,,,,
52000254,6.40,4.75,1.40,,,,,4.50,5.25,8.75,6.17
52000255,6.80,5.00,7.60,,,,,5.50,4.25,8.00,5.92
52000256,8.20,4.50,8.00,7.50,4.75,7.00,6.42,,,,
52000257,5.00,3.50,4.20,,,,,5.25,4.25,5.00,4.83
52000258,8.40,7.00,8.80,8.25,6.25,5.00,6.50,,,,
52000259,8.40,6.25,,8.25,7.50,6.25,7.33,,,,
52000260,7.60,6.25,7.40,7.00,4.25,5.25,5.50,,,,
52000261,7.20,7.50,9.00,,,,,7.50,5.50,8.75,7.25
52000262,7.00,5.00,8.00,,,,,7.75,6.50,9.00,7.75
52000263,6.40,5.75,7.00,,,,,5.75,5.75,8.50,6.67
52000264,7.80,7.00,8.20,6.50,8.75,6.25,7.17,,,,
52000265,6.80,6.75,6.80,,,,,8.25,7.50,8.75,8.17
52000266,7.00,5.50,3.20,7.25,7.50,6.50,7.08,,,,
52000267,9.00,7.50,,8.75,9.50,7.00,8.42,,,,
52000268,8.00,7.00,9.60,7.25,8.50,8.00,7.92,,,,
52000269,8.00,6.75,9.00,7.75,6.25,6.50,6.83,,,,
52000270,7.20,6.50,5.60,,,,,6.75,5.75,9.75,7.42
52000271,7.60,7.50,9.80,,,,,7.50,7.00,9.50,8.00
52000272,6.20,6.50,6.40,5.00,7.00,5.00,5.67,,,,
52000273,8.20,7.00,9.20,8.50,6.50,7.75,7.58,,,,
52000274,6.20,5.50,3.40,3.75,4.25,4.50,4.17,,,,
52000275,7.80,6.50,6.60,7.75,7.75,7.75,7.75,,,,
52000276,5.60,4.75,,4.00,4.00,5.50,4.50,,,,
52000277,8.80,8.50,9.80,,,,,8.25,6.25,9.50,8.00
52000278,6.00,6.00,5.00,,,,,5.25,6.75,9.00,7.00
52000279,7.60,6.50,8.00,6.25,6.50,4.50,5.75,,,,
52000280,6.20,6.50,8.40,6.75,5.25,5.50,5.83,,,,
52000281,7.60,6.50,8.80,7.00,7.50,6.25,6.92,,,,
52000282,6.80,6.25,6.00,,,,,7.25,5.75,7.75,6.92
52000283,,,,,,,,,,,
52000284,5.20,4.25,6.60,,,,,4.75,5.00,6.00,5.25
52000285,9.00,6.75,9.20,8.75,6.25,6.50,7.17,,,,
52000286,7.00,6.25,7.60,7.00,6.25,7.25,6.83,,,,
52000287,7.20,7.00,8.80,7.50,5.50,5.75,6.25,,,,
52000288,7.20,6.75,9.00,7.00,7.75,5.25,6.67,,,,
52000289,8.00,6.25,9.40,8.00,8.50,5.75,7.42,,,,
52000290,6.20,5.00,8.60,7.00,6.00,5.25,6.08,,,,
52000291,8.60,7.00,7.80,6.00,8.25,6.00,6.75,,,,
52000292,8.60,5.75,9.60,9.25,7.75,8.00,8.33,,,,
52000293,7.00,5.50,8.60,4.50,5.50,6.25,5.42,,,,
52000294,7.60,7.50,9.00,7.50,8.00,6.75,7.42,,,,
52000295,9.00,6.25,8.60,7.75,5.50,4.25,5.83,,,,
52000296,5.80,4.75,4.00,3.75,6.50,4.25,4.83,,,,
52000297,8.40,5.25,8.00,7.25,8.50,8.00,7.92,,,,
52000298,8.00,6.00,7.40,6.25,4.25,5.00,5.17,,,,
52000299,5.20,5.50,5.80,4.25,3.25,5.25,4.25,,,,
52000300,8.20,6.75,7.40,7.00,8.50,6.50,7.33,,,,
52000301,7.20,6.75,6.20,6.50,5.75,6.25,6.17,,,,
