SBD,Toan,Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,DTBTN,Lich Su,Dia Ly,GDCD,DTBXH
52000124,7.4,8.5,8.6,,,,,8.0,7.0,9.5,8.17
52000125,8.6,8.0,10.0,,,,,8.25,7.5,9.25,8.33
52000126,8.6,6.5,,8.25,7.0,5.5,6.92,,,,
52000127,7.6,7.25,8.6,8.25,7.0,8.0,7.75,,,,
52000128,6.6,7.25,7.2,,,,,8.25,6.75,9.0,8.0
52000129,8.0,6.25,7.8,6.0,5.75,6.0,5.92,,,,
52000130,6.8,6.0,8.0,,,,,7.25,5.5,9.25,7.33
52000131,6.2,5.75,6.4,,,,,7.5,5.75,8.5,7.25
52000132,7.6,3.25,4.6,5.0,7.25,6.25,6.17,,,,
52000133,6.8,6.25,5.2,,,,,7.0,5.75,8.25,7.0
52000134,7.4,6.25,8.4,8.0,7.25,7.0,7.42,,,,
52000135,8.4,7.25,8.6,7.25,8.75,7.5,7.83,,,,
52000136,7.8,6.0,6.8,5.75,6.25,7.0,6.33,,,,
52000137,7.4,5.75,5.8,5.75,6.25,3.75,5.25,,,,
52000138,7.6,5.5,3.8,7.0,4.25,6.0,5.75,,,,
52000139,6.0,5.0,4.2,,,,,6.0,6.5,8.75,7.08
52000140,7.2,6.75,5.2,5.75,4.75,5.25,5.25,,,,
52000141,6.2,6.0,5.4,4.25,4.5,6.0,4.92,,,,
52000142,6.8,6.25,6.6,,,,,7.0,7.25,7.0,7.08
52000143,8.0,6.5,9.6,7.75,6.5,7.25,7.17,,,,
52000144,7.4,5.5,9.0,7.0,7.5,7.25,7.25,,,,
52000145,7.8,5.75,7.6,6.75,6.75,7.25,6.92,,,,
52000146,8.2,7.0,5.6,6.5,8.25,6.5,7.08,,,,
52000147,5.6,4.5,7.4,,,,,6.75,6.75,8.25,7.25
52000148,7.8,6.25,6.6,7.75,7.5,7.0,7.42,,,,
52000149,7.2,6.25,8.2,,,,,9.25,8.0,9.5,8.92
52000150,8.2,8.0,8.8,,,,,7.25,8.0,9.25,8.17
52000151,7.8,6.0,5.6,7.75,7.25,5.75,6.92,,,,
52000152,6.4,5.0,4.6,4.25,6.25,5.75,5.42,,,,
52000153,6.6,7.0,8.0,,,,,8.75,7.5,9.75,8.67
52000154,6.6,5.0,6.4,,,,,5.75,7.0,8.25,7.0
52000155,4.6,4.25,3.8,,,,,4.0,6.0,8.0,6.0
52000156,7.8,5.25,8.8,7.0,6.25,7.0,6.75,,,,
52000157,7.6,5.25,8.2,5.75,7.5,7.0,6.75,,,,
52000158,8.2,6.5,9.6,8.75,5.75,7.25,7.25,,,,
52000159,7.4,6.75,,8.0,5.5,7.0,6.83,,,,
52000160,6.6,6.5,7.8,6.0,6.25,5.75,6.0,,,,
52000161,6.4,7.0,4.0,,,,,6.5,7.25,9.25,7.67
52000162,6.8,4.75,2.6,5.25,3.25,5.5,4.67,,,,
52000163,5.6,6.75,3.6,,,,,5.0,5.25,6.75,5.67
52000164,6.4,6.5,6.4,,,,,5.25,5.75,8.75,6.58
52000165,7.6,6.75,7.4,8.0,4.75,5.75,6.17,,,,
52000166,8.6,6.5,8.0,8.5,8.0,6.25,7.58,,,,
52000167,8.8,7.5,,7.5,7.5,7.5,7.5,,,,
52000168,7.6,6.5,,6.0,4.0,7.0,5.67,,,,
52000169,6.8,5.5,3.6,7.25,7.25,5.5,6.67,,,,
52000170,8.4,7.25,,8.25,7.75,5.5,7.17,,,,
